user_id,login_attempts_count,failed_attempts_count,time_between_attempts,source_ip,geolocation_country,MFA_enabled,previous_breach_flag,failed_login_ratio,bot_detection_score,geo_distance_from_last_login,device_consistency_flag,concurrent_login_attempts,time_of_day,time_since_last_login,login_velocity,anomalous_ip_flag,credential_reuse_flag,CAPTCHA_failed_attempts,previous_attack_history
1,8,4,1.9,12.45.144.217,JP,0,1,0.07,0.37,60.14,1,1,16.44,4.59,6.48,0,0,0,0
2,14,0,0.76,90.210.1.34,BR,1,0,0.17,0.31,78.0,1,1,22.03,2.73,7.71,0,0,0,0
3,11,1,1.31,233.238.81.124,US,1,0,0.06,0.14,24.01,1,0,23.28,0.61,8.22,0,0,0,0
4,5,3,1.95,236.199.228.103,CA,1,0,0.15,0.29,41.97,1,0,19.42,2.87,7.93,0,0,0,0
5,8,3,1.48,131.140.78.241,JP,1,0,0.15,0.23,67.72,1,0,15.64,0.72,7.69,0,0,0,0
6,10,2,1.75,228.43.34.57,DE,1,0,0.16,0.47,40.27,0,0,23.69,4.02,8.37,1,0,0,0
7,12,1,1.2,10.241.135.141,US,1,0,0.1,0.35,29.15,0,1,1.94,2.8,6.76,0,0,0,0
8,8,2,0.72,35.93.15.177,AU,1,0,0.05,0.44,90.48,1,0,22.53,1.87,8.26,0,0,0,0
9,13,4,0.76,98.101.210.13,AU,1,0,0.01,0.19,34.54,1,1,18.39,0.94,5.11,0,0,0,0
10,5,2,1.76,144.61.63.129,BR,1,0,0.12,0.03,39.09,0,0,6.81,0.89,7.77,0,0,0,0
11,10,2,1.46,87.26.224.0,GB,1,0,0.03,0.07,19.07,1,1,16.66,1.41,7.48,0,0,0,0
12,14,0,1.15,141.174.216.170,GB,1,0,0.06,0.39,78.71,0,0,9.44,0.49,9.69,0,0,0,0
13,9,2,1.47,173.106.227.98,GB,1,0,0.17,0.06,84.74,1,0,13.37,3.0,8.0,0,0,0,0
14,13,3,1.53,212.48.116.248,JP,1,0,0.12,0.36,67.68,1,0,1.58,4.74,9.4,0,0,0,0
15,12,4,1.86,183.80.64.50,BR,1,0,0.08,0.14,3.34,1,1,19.97,3.8,7.03,0,0,0,0
16,5,2,0.79,190.232.242.38,GB,1,0,0.09,0.18,82.39,0,0,21.11,1.81,7.15,0,0,0,0
17,8,4,1.35,194.179.119.129,AU,1,0,0.16,0.23,42.57,1,1,4.21,0.3,7.54,0,0,0,0
18,10,2,1.04,23.67.117.12,GB,1,0,0.03,0.23,51.32,1,1,0.02,3.43,7.52,0,0,0,0
19,7,4,1.57,64.86.163.89,DE,1,0,0.0,0.27,59.4,0,1,15.62,4.28,9.22,0,1,0,0
20,9,4,0.72,255.48.88.64,JP,1,0,0.06,0.35,25.6,1,1,9.09,1.85,7.29,0,0,0,0
